0.000	-0.594	1.000
0.049	-0.532	0.999
0.098	-0.384	0.995
0.147	-0.553	0.989
0.195	0.537	0.981
0.243	0.142	0.970
0.290	0.679	0.957
0.337	-0.316	0.942
0.383	0.511	0.924
0.428	0.231	0.904
0.471	-0.113	0.882
0.514	0.418	0.858
0.556	0.485	0.831
0.596	0.405	0.803
0.634	0.588	0.773
0.672	-0.175	0.741
0.707	-0.446	0.707
0.741	-0.452	0.672
0.773	-0.398	0.634
0.803	-0.693	0.596
0.831	0.558	0.556
0.858	0.345	0.514
0.882	-0.071	0.471
0.904	0.140	0.428
0.924	-0.477	0.383
0.942	-0.679	0.337
0.957	0.329	0.290
0.970	0.251	0.243
0.981	0.707	0.195
0.989	-0.858	0.147
0.995	-0.454	0.098
0.999	0.323	0.049
1.000	0.460	-0.000
0.999	0.759	-0.049
0.995	0.502	-0.098
0.989	-0.994	-0.147
0.981	0.926	-0.195
0.970	-0.560	-0.243
0.957	0.669	-0.290
0.942	-0.238	-0.337
0.924	-0.805	-0.383
0.904	0.022	-0.428
0.882	0.276	-0.471
0.858	0.773	-0.514
0.831	-0.440	-0.556
0.803	0.871	-0.596
0.773	0.126	-0.634
0.741	-0.217	-0.672
0.707	0.478	-0.707
0.672	0.641	-0.741
0.634	-0.744	-0.773
0.596	-0.302	-0.803
0.556	0.731	-0.831
0.514	-0.451	-0.858
0.471	-0.140	-0.882
0.428	-0.283	-0.904
0.383	-0.475	-0.924
0.337	0.580	-0.942
0.290	0.473	-0.957
0.243	0.598	-0.970
0.195	0.334	-0.981
0.147	0.838	-0.989
0.098	0.628	-0.995
0.049	0.918	-0.999
0.000	-0.142	-1.000
-0.049	0.446	-0.999
-0.098	-0.922	-0.995
-0.147	0.470	-0.989
-0.195	0.941	-0.981
-0.243	-0.739	-0.970
-0.290	0.609	-0.957
-0.337	0.962	-0.942
-0.383	-0.597	-0.924
-0.428	0.454	-0.904
-0.471	-0.939	-0.882
-0.514	0.081	-0.858
-0.556	0.580	-0.831
-0.596	0.631	-0.803
-0.634	0.452	-0.773
-0.672	-0.951	-0.741
-0.707	0.906	-0.707
-0.741	-0.902	-0.672
-0.773	0.832	-0.634
-0.803	-0.070	-0.596
-0.831	-0.419	-0.556
-0.858	0.133	-0.514
-0.882	0.125	-0.471
-0.904	-0.055	-0.428
-0.924	0.495	-0.383
-0.942	-0.881	-0.337
-0.957	0.661	-0.290
-0.970	0.266	-0.243
-0.981	0.188	-0.195
-0.989	-0.757	-0.147
-0.995	-0.055	-0.098
-0.999	-0.504	-0.049
-1.000	-0.398	0.000
-0.999	-0.092	0.049
-0.995	0.248	0.098
-0.989	0.203	0.147
-0.981	0.522	0.195
-0.970	0.838	0.243
-0.957	-0.297	0.290
-0.942	-0.178	0.337
-0.924	-0.069	0.383
-0.904	0.231	0.428
-0.882	0.801	0.471
-0.858	-0.130	0.514
-0.831	0.574	0.556
-0.803	0.891	0.596
-0.773	0.436	0.634
-0.741	-0.894	0.672
-0.707	-0.714	0.707
-0.672	-0.277	0.741
-0.634	0.634	0.773
-0.596	0.630	0.803
-0.556	0.425	0.831
-0.514	0.330	0.858
-0.471	-0.232	0.882
-0.428	0.813	0.904
-0.383	0.316	0.924
-0.337	0.622	0.942
-0.290	0.843	0.957
-0.243	-0.428	0.970
-0.195	0.782	0.981
-0.147	0.335	0.989
-0.098	-0.247	0.995
-0.049	0.999	0.999
